feature,wave_type,depth_km,univariate_cv_r2,pearson_r,n_valid
REVEAL_S80,S,80,0.03792163329767943,-0.3942491688789016,30848
REVEAL_S90,S,90,0.014308106741936921,-0.3865709564751759,30848
REVEAL_S70,S,70,0.009047536817569358,-0.3943615502176095,30848
REVEAL_S100,S,100,0.005634846537490135,-0.36694520281953924,30848
REVEAL_S120,S,120,-0.012621853346049438,-0.31686691417039753,30848
REVEAL_S110,S,110,-0.01874422257777575,-0.34210070641556933,30848
REVEAL_S60,S,60,-0.033072995030911635,-0.3725580036461644,30848
REVEAL_P180,P,180,-0.03748900284800936,-0.321109652321717,30848
REVEAL_P150,P,150,-0.056254208113955026,-0.31754857547790144,30848
REVEAL_S140,S,140,-0.05754442905201662,-0.27302245736310343,30848
REVEAL_P230,P,230,-0.060756412093263365,-0.28912673124719407,30848
REVEAL_S130,S,130,-0.062113576862464326,-0.2936206336928538,30848
REVEAL_P200,P,200,-0.06254765826438562,-0.3148223389392464,30848
REVEAL_P190,P,190,-0.06298716807146332,-0.3187699293906541,30848
REVEAL_P170,P,170,-0.06303257431360332,-0.32180290393935423,30848
REVEAL_P160,P,160,-0.06609626058039275,-0.3206976070068682,30848
REVEAL_P100,P,100,-0.06987955536559035,-0.2610677891847207,30848
REVEAL_P220,P,220,-0.07012317541968334,-0.30153940803068846,30848
REVEAL_P120,P,120,-0.07224164353272151,-0.2918558412352364,30848
REVEAL_P210,P,210,-0.07558966238292117,-0.3091681235730537,30848
REVEAL_S50,S,50,-0.07738749105958713,-0.3242314302014758,30848
REVEAL_P290,P,290,-0.08394914171631407,-0.23638243370639994,30848
REVEAL_P240,P,240,-0.08702779568007499,-0.2810358864552636,30848
REVEAL_P260,P,260,-0.08768937402601966,-0.263790660692388,30848
REVEAL_P140,P,140,-0.08812895743182078,-0.3115033744654172,30848
REVEAL_S180,S,180,-0.08847135147843108,-0.21203264236780608,30848
REVEAL_S160,S,160,-0.08969050571486319,-0.23958857607731066,30848
REVEAL_P250,P,250,-0.09144392690682164,-0.2725585056716303,30848
REVEAL_S40,S,40,-0.09156472283390893,-0.16540950166480095,30848
REVEAL_P90,P,90,-0.0930820665662285,-0.2413644586692225,30848
REVEAL_P280,P,280,-0.09359250312878328,-0.2456675671403901,30848
REVEAL_P270,P,270,-0.0944354410473323,-0.25480993946736863,30848
REVEAL_P110,P,110,-0.0961905783783572,-0.2779088717498492,30848
REVEAL_S240,S,240,-0.0970532206694474,-0.14146580285051774,30848
REVEAL_P130,P,130,-0.10026557523796757,-0.3029999996989561,30848
REVEAL_S170,S,170,-0.10389077860992954,-0.2253512935056331,30848
REVEAL_S200,S,200,-0.10535389135256054,-0.186545840214285,30848
REVEAL_P0,P,0,-0.10604493459053752,-0.059797587456846824,30848
REVEAL_S250,S,250,-0.10645844896070397,-0.13076239146026528,30848
REVEAL_S150,S,150,-0.1069423857615563,-0.2546925664615629,30848
REVEAL_S370,S,370,-0.11113935608913424,-0.03695065464156406,30848
REVEAL_S190,S,190,-0.1126296402928019,-0.19934042607877914,30848
REVEAL_P400,P,400,-0.11296752922892686,-0.14908221035528316,30848
REVEAL_S300,S,300,-0.11318685332250186,-0.06668889829189448,30848
REVEAL_P300,P,300,-0.11431995117308746,-0.226933510241855,30848
REVEAL_P340,P,340,-0.11499612444070491,-0.18967732534298387,30848
REVEAL_P80,P,80,-0.11665510496217872,-0.21901070693268299,30848
REVEAL_S290,S,290,-0.11697904256112804,-0.07678940246080795,30848
REVEAL_S260,S,260,-0.1174547164662731,-0.11709824847286453,30848
REVEAL_P330,P,330,-0.1176906532995385,-0.198777774757191,30848
REVEAL_P390,P,390,-0.11835531652116985,-0.15357228752899807,30848
REVEAL_P350,P,350,-0.12097865534866314,-0.1809738665941475,30848
REVEAL_P320,P,320,-0.12152085640050822,-0.2080496021776797,30848
REVEAL_S310,S,310,-0.12291041672995137,-0.05836926889357163,30848
REVEAL_S0,S,0,-0.12324668894238658,-0.06755087519457548,30848
REVEAL_S280,S,280,-0.12669247263093902,-0.08883882430861632,30848
REVEAL_S270,S,270,-0.12688559470320393,-0.10257280057280668,30848
REVEAL_S210,S,210,-0.12808205382423687,-0.1722510053448585,30848
REVEAL_S30,S,30,-0.12874847007120788,0.034337361758632404,30848
REVEAL_S380,S,380,-0.12976381427351863,-0.01739440079760033,30848
REVEAL_P370,P,370,-0.12997956720619003,-0.16552204987819982,30848
REVEAL_P360,P,360,-0.131005259476491,-0.17286711525960385,30848
REVEAL_S350,S,350,-0.13153328473339637,-0.060618601837139484,30848
REVEAL_S10,S,10,-0.13227331830167438,-0.0003375727986308953,30848
