label,n_feats,rmse,mae,r2,picp,elapsed,dropped_feature,delta_rmse,delta_r2
drop_EMAG2_LOG,33,0.06262603111131333,0.03697006868770078,0.2876887498454217,0.8692185007974481,8.610353946685791,EMAG2_LOG,0.2926414522822149,-0.006641480037354319
drop_SI,33,0.06260944823884271,0.036690727004434875,0.28806592855298063,0.8708133971291866,8.740086078643799,SI,0.27605857981159027,-0.006264301329795385
drop_LITH_RHO,33,0.06259298230792915,0.03670199283230162,0.2884403485828282,0.8724082934609251,8.599517822265625,LITH_RHO,0.2595926488980285,-0.00588988129994783
drop_LAB,33,0.06254309882503183,0.03668698011841438,0.2895740517071257,0.8740031897926634,8.085325241088867,LAB,0.2097091660007086,-0.004756178175650327
drop_FREE_AIR,33,0.0625230599969176,0.03686434388798823,0.29002922016238863,0.8692185007974481,8.204661130905151,FREE_AIR,0.18967033788647863,-0.004301009720387383
drop_DEM,33,0.062493146524508374,0.03680199636060563,0.2907084131150307,0.8692185007974481,8.291228771209717,DEM,0.15975686547725632,-0.0036218167677453117
drop_VOLC_DIST,33,0.06243772231324019,0.03682801901703483,0.2919659748278176,0.8740031897926634,8.465255975723267,VOLC_DIST,0.10433265420907445,-0.0023642550549584085
drop_MOHO_U,33,0.06241871420405873,0.036711114552410655,0.2923970071898816,0.8676236044657097,8.671513080596924,MOHO_U,0.08532454502761105,-0.0019332226928944207
drop_GLiM,33,0.062358068396621495,0.03670279083411245,0.2937713484673109,0.8708133971291866,8.327089786529541,GLiM,0.024678737590377864,-0.0005588814154651178
drop_MAG_SEIS_MOHO,33,0.06234831471599625,0.03660973363384724,0.293992259415219,0.8724082934609251,8.339514970779419,MAG_SEIS_MOHO,0.014925056965132966,-0.0003379704675570139
drop_TC1,33,0.06228404327720675,0.03662720719613319,0.2954470780615278,0.8724082934609251,8.1852867603302,TC1,-0.049346381824369456,0.0011168481787517948
drop_CRUST_RHO,33,0.06225809895859221,0.03660395443616251,0.29603391659838496,0.8708133971291866,8.209951877593994,CRUST_RHO,-0.07529070043890695,0.001703686715608943
drop_REVEAL_P60,33,0.06224710981067124,0.036692216134105914,0.2962824081139781,0.8708133971291866,8.459532022476196,REVEAL_P60,-0.08627984835987701,0.0019521782312020841
drop_VP_120_VS_140,33,0.062241523124015166,0.036723596664701035,0.29640871994654727,0.8724082934609251,9.06067419052124,VP_120_VS_140,-0.09186653501595116,0.0020784900637712544
drop_GEOID,33,0.062231146868057675,0.03657016790465829,0.29664329115565125,0.8740031897926634,9.046571016311646,GEOID,-0.10224279097344191,0.0023130612728752276
drop_REVEAL_P40,33,0.06221518699886315,0.03656505226066018,0.2970040121831574,0.8755980861244019,8.088312864303589,REVEAL_P40,-0.11820266016796671,0.0026737823003814
drop_REVEAL_S220,33,0.06221342112623784,0.03656184944398469,0.29704391831582155,0.8724082934609251,8.07943606376648,REVEAL_S220,-0.11996853279327979,0.0027136884330455358
drop_CTD,33,0.062210874242888604,0.0366981172007038,0.29710147215101657,0.8724082934609251,8.947036981582642,CTD,-0.12251541614251293,0.002771242268240548
drop_VPVS_DIFF,33,0.06219987864542988,0.03658909201275229,0.2973499208776966,0.8724082934609251,8.940834045410156,VPVS_DIFF,-0.13351101360123407,0.0030196909949206097
drop_REVEAL_S50,33,0.06218750803050367,0.03664097687818186,0.2976293860268602,0.8755980861244019,8.466468811035156,REVEAL_S50,-0.14588162852744585,0.003299156144084159
drop_S_DIFF_200_220,33,0.06218212914486081,0.03654223398361295,0.2977508833482354,0.8755980861244019,8.391540050506592,S_DIFF_200_220,-0.15126051417031078,0.003420653465459389
