label,n_feats,rmse,mae,r2,picp,elapsed,step,added_feature,selected
greedy_step01_MOHO_GRAV,1,0.06720443591838722,0.04207124570407619,0.1797317435070075,0.7496012759170654,4.948340177536011,1,MOHO_GRAV,MOHO_GRAV
greedy_step02_CTD,2,0.06466575100828884,0.04104411245004809,0.24053340514000354,0.8325358851674641,6.542200088500977,2,CTD,"MOHO_GRAV,CTD"
greedy_step03_REVEAL_S140,3,0.06249409419943628,0.03836902034278185,0.29068690090169347,0.8580542264752791,6.095158100128174,3,REVEAL_S140,"MOHO_GRAV,CTD,REVEAL_S140"
greedy_step04_DEM,4,0.06149315077220246,0.03748121470961855,0.31322651970390203,0.8755980861244019,6.042523145675659,4,DEM,"MOHO_GRAV,CTD,REVEAL_S140,DEM"
greedy_step05_S_DIFF_200_220,5,0.060659204870695434,0.03697462286460987,0.33172771339917506,0.8803827751196173,6.148005723953247,5,S_DIFF_200_220,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220"
greedy_step06_GEOID,6,0.06019923467022994,0.03632594162435326,0.34182411701810833,0.8851674641148325,6.174675226211548,6,GEOID,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID"
greedy_step07_FREE_AIR,7,0.059495293689143365,0.03604307166299599,0.3571269053690844,0.886762360446571,6.916434049606323,7,FREE_AIR,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR"
greedy_step08_REVEAL_S100,8,0.05946163889263803,0.036017786032160194,0.35785400973211035,0.8771929824561403,6.866733074188232,8,REVEAL_S100,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100"
greedy_step09_EMAG2_LOG,9,0.059112212446520575,0.03567125345253303,0.365378978853773,0.8883572567783095,6.386959075927734,9,EMAG2_LOG,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG"
greedy_step10_GLiM,10,0.05901239967276285,0.0356097714943123,0.3675203233662597,0.8787878787878788,6.587930917739868,10,GLiM,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM"
greedy_step11_TC1,11,0.05909870821972438,0.03577485502352868,0.3656689049765043,0.8787878787878788,6.60266900062561,11,TC1,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1"
greedy_step12_REG,12,0.059207999448583154,0.03567322781813939,0.3633205988963816,0.8851674641148325,6.739857912063599,12,REG,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG"
greedy_step13_VP_120_VS_140,13,0.05926414698350432,0.035670698768098315,0.362112487515414,0.8835725677830941,6.748933792114258,13,VP_120_VS_140,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140"
greedy_step14_REVEAL_P40,14,0.05946640935245486,0.03571734313931073,0.35775097003855616,0.8835725677830941,6.569788932800293,14,REVEAL_P40,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40"
greedy_step15_LAB,15,0.0597708459863773,0.03608928624165766,0.3511581851321045,0.8787878787878788,6.487604141235352,15,LAB,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB"
greedy_step16_SI,16,0.05975957256214064,0.03577573824584714,0.3514029191360549,0.8771929824561403,6.5446600914001465,16,SI,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI"
greedy_step17_REVEAL_S220,17,0.0598120507940475,0.03581412963815759,0.3502632800267682,0.8819776714513556,6.73048996925354,17,REVEAL_S220,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220"
greedy_step18_CRUST_RHO,18,0.0598330572408411,0.03569391482264907,0.3498068149360962,0.8787878787878788,6.762593984603882,18,CRUST_RHO,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO"
greedy_step19_REVEAL_P60,19,0.06006209486346974,0.035857176756760624,0.3448194806931538,0.8819776714513556,6.795589923858643,19,REVEAL_P60,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60"
greedy_step20_REVEAL_P120,20,0.0600012196510706,0.03582363079051062,0.3461469082915779,0.8771929824561403,7.157762050628662,20,REVEAL_P120,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120"
greedy_step21_REVEAL_S200,21,0.06014607021070734,0.03598947249966655,0.3429861289282108,0.8787878787878788,7.054942846298218,21,REVEAL_S200,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200"
greedy_step22_MAG_SEIS_MOHO,22,0.06005932681260164,0.03581033297870589,0.3448798692366687,0.8708133971291866,6.94074821472168,22,MAG_SEIS_MOHO,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO"
greedy_step23_LITH_RHO,23,0.06023502086250849,0.03591815501839508,0.3410413625628387,0.8708133971291866,7.170262098312378,23,LITH_RHO,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO"
greedy_step24_MOHO,24,0.060349997967882124,0.03610798508987785,0.3385233102342754,0.8835725677830941,7.189691781997681,24,MOHO,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO"
greedy_step25_MOHO_GRAV_U,25,0.060662857153281395,0.036211786005529524,0.331647237807122,0.8787878787878788,7.181126117706299,25,MOHO_GRAV_U,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U"
greedy_step26_P_DIFF_40_60,26,0.06064056975745393,0.03627206544792314,0.33213825016337784,0.8787878787878788,7.28922700881958,26,P_DIFF_40_60,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60"
greedy_step27_REVEAL_P210,27,0.060749122993758176,0.036283016102208056,0.3297450192026503,0.8660287081339713,7.471287727355957,27,REVEAL_P210,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60,REVEAL_P210"
greedy_step28_SEDIMENT,28,0.06126958965449825,0.03651584650953849,0.31821103429451203,0.8740031897926634,7.303515911102295,28,SEDIMENT,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60,REVEAL_P210,SEDIMENT"
greedy_step29_REVEAL_S50,29,0.06147532488014184,0.03651814631432553,0.31362463153731146,0.8724082934609251,7.996356010437012,29,REVEAL_S50,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60,REVEAL_P210,SEDIMENT,REVEAL_S50"
greedy_step30_BOUGUER,30,0.061890115807412424,0.036689139484993805,0.3043310569728497,0.8740031897926634,7.481398105621338,30,BOUGUER,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60,REVEAL_P210,SEDIMENT,REVEAL_S50,BOUGUER"
greedy_step31_VP_40_VS_50,31,0.061916021558083296,0.036571348132517396,0.30374855368587994,0.8740031897926634,8.047251224517822,31,VP_40_VS_50,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60,REVEAL_P210,SEDIMENT,REVEAL_S50,BOUGUER,VP_40_VS_50"
greedy_step32_VOLC_DIST,32,0.061960516500969766,0.03641186739643622,0.30274749453911476,0.8724082934609251,7.552826881408691,32,VOLC_DIST,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60,REVEAL_P210,SEDIMENT,REVEAL_S50,BOUGUER,VP_40_VS_50,VOLC_DIST"
greedy_step33_VPVS_DIFF,33,0.062155276655842556,0.03659879436058767,0.29835726545048635,0.8803827751196173,7.908252000808716,33,VPVS_DIFF,"MOHO_GRAV,CTD,REVEAL_S140,DEM,S_DIFF_200_220,GEOID,FREE_AIR,REVEAL_S100,EMAG2_LOG,GLiM,TC1,REG,VP_120_VS_140,REVEAL_P40,LAB,SI,REVEAL_S220,CRUST_RHO,REVEAL_P60,REVEAL_P120,REVEAL_S200,MAG_SEIS_MOHO,LITH_RHO,MOHO,MOHO_GRAV_U,P_DIFF_40_60,REVEAL_P210,SEDIMENT,REVEAL_S50,BOUGUER,VP_40_VS_50,VOLC_DIST,VPVS_DIFF"
