feature,freq_top25,r2_with,r2_without,r2_delta,n_with
DEM,0.8933333333333333,0.2966931073446743,0.28223199678975563,0.014461110554918666,191
FREE_AIR,0.8666666666666667,0.29605610593518644,0.2829885528442452,0.013067553090941264,194
EMAG2_LOG,0.7466666666666667,0.29512735668155277,0.28497565162146404,0.010151705060088723,191
GEOID,0.7866666666666666,0.29492235684677265,0.28559167915824013,0.009330677688532518,188
VOLC_DIST,0.7066666666666667,0.29490185435643324,0.28562609405273837,0.009275760303694869,188
LAB,0.7066666666666667,0.2955024672675917,0.28640493721265614,0.009097530054935576,166
SI,0.72,0.29413905578445815,0.2869065059414109,0.00723254984304722,188
LITH_RHO,0.7333333333333333,0.29360198845109053,0.2875372652509877,0.006064723200102817,193
REG,0.6533333333333333,0.293502679821933,0.2878225624488711,0.005680117373061899,191
REVEAL_S100,0.6666666666666666,0.293093501065223,0.2887007650771632,0.004392735988059837,187
GLiM,0.64,0.2922690632736794,0.2899630648552751,0.002305998418404287,192
REVEAL_S220,0.6266666666666667,0.29224393902205326,0.2901254253931075,0.002118513628945773,186
REVEAL_P40,0.6266666666666667,0.29222353328800704,0.29015871895918277,0.0020648143288242715,186
REVEAL_S200,0.68,0.29211322638322634,0.29011028814509016,0.002002938238136187,199
VPVS_DIFF,0.6266666666666667,0.2921452574391184,0.29026998240531876,0.0018752750337996393,187
MOHO_GRAV,0.8266666666666667,0.291624253704502,0.29055492758076257,0.0010693261237394447,248
VP_120_VS_140,0.5866666666666667,0.29182048794566795,0.2907798040294477,0.001040683916220253,190
MAG_SEIS_MOHO,0.56,0.29179422655360177,0.29086729774347686,0.0009269288101249051,185
CRUST_RHO,0.56,0.2917447271525752,0.2908952179594604,0.000849509193114828,192
REVEAL_P210,0.5333333333333333,0.2916785611982289,0.2910692628376144,0.0006092983606144631,182
REVEAL_P120,0.64,0.2915908021840362,0.291180266127327,0.0004105360567092098,189
TC1,0.5466666666666666,0.29152846620916817,0.2912725737345558,0.00025589247461238473,195
S_DIFF_200_220,0.5333333333333333,0.2915039496520351,0.29132971980654965,0.00017422984548542964,188
P_DIFF_40_60,0.56,0.291468615356941,0.2913930776097703,7.553774717072859e-05,182
REVEAL_P60,0.6266666666666667,0.2912954814322538,0.29173452962858043,-0.00043904819632661907,202
CTD,0.6266666666666667,0.2911367117814582,0.29201688283464927,-0.0008801710531910478,197
MOHO_GRAV_U,0.5466666666666666,0.2910486990614181,0.29209389044079953,-0.001045191379381416,188
REVEAL_S140,0.56,0.2909601834472876,0.2922199739624621,-0.001259790515174497,186
VP_40_VS_50,0.6133333333333333,0.2906340132583956,0.2928698204380019,-0.0022358071796063084,192
SEDIMENT,0.4533333333333333,0.2904559668687064,0.2930426431169892,-0.002586676248282793,186
BOUGUER,0.6266666666666667,0.29038798119710446,0.29341948882965074,-0.003031507632546282,196
REVEAL_S50,0.5333333333333333,0.29008247512342356,0.2939214243299244,-0.0038389492065008524,194
MOHO,0.96,0.2912831389565421,0.2955312722250433,-0.004248133268501153,289
MOHO_U,0.5066666666666667,0.28969857908760555,0.294577994289797,-0.004879415202191428,193
