run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed
1,2000,15,1,0.7,True,0.25,0.1,2643,294,0.038400992101368187,0.026130638897386125,0.3363481672748856,0.8945578231292517,10.526229858398438
2,1000,30,3,sqrt,False,0.3,0.25,2262,755,0.04497041642724213,0.029571504117893842,0.34591592848640307,0.8913907284768212,2.7374331951141357
3,1500,15,10,0.7,True,0.225,0.1,2596,289,0.03666524354451007,0.026422032221335833,0.28535770483075285,0.8961937716262975,6.535405874252319
4,2000,40,10,0.4,False,0.3,0.25,2262,755,0.04464965369909285,0.029412268705908403,0.35521348726928503,0.9205298013245033,5.2744269371032715
5,500,25,5,sqrt,False,0.25,0.15,2496,441,0.03971152186938278,0.026979071224846413,0.31114817169618325,0.9024943310657596,1.290450096130371
6,1000,15,2,0.4,True,0.35,0.2,2504,627,0.06110169911527878,0.036250682039178674,0.3219423825324357,0.89792663476874,3.4657840728759766
7,500,25,2,0.7,False,0.2,0.15,2383,421,0.03366463439808187,0.02408069347547971,0.3164297227146565,0.8527315914489311,2.5980780124664307
8,1000,50,3,0.4,True,0.25,0.2,2349,588,0.0406705218865478,0.028086653262028194,0.27975734332586133,0.8741496598639455,3.6737358570098877
9,1000,25,5,0.5,False,0.225,0.25,2163,722,0.03761298268194546,0.02636907080206294,0.33400829763960926,0.8933518005540166,3.198279857635498
10,2000,50,7,0.6,False,0.225,0.15,2452,433,0.03788323843809739,0.026935703736233413,0.33094483128119223,0.8845265588914549,7.37709903717041
11,1000,50,7,0.6,False,0.25,0.15,2496,441,0.03970781844056946,0.0272450984128134,0.3112766479989141,0.909297052154195,3.6029980182647705
12,2000,None,2,0.5,False,0.25,0.15,2496,441,0.04024996594527296,0.027336535586797897,0.2923414012775267,0.8752834467120182,9.407115936279297
13,500,15,1,0.7,True,0.225,0.2,2308,577,0.03826336296812548,0.027141936688081313,0.29211377873434463,0.878682842287695,2.2535040378570557
14,1000,25,5,0.7,True,0.2,0.2,2243,561,0.033989561242379854,0.024330677785020155,0.34953713317033996,0.8627450980392157,3.9047579765319824
15,2000,25,3,0.7,True,0.225,0.15,2452,433,0.03803503365857964,0.02651313625693642,0.32557238418590717,0.8568129330254042,9.477974891662598
16,1000,40,3,sqrt,True,0.2,0.2,2243,561,0.03393781986141166,0.02401851111566455,0.3515159895651041,0.8502673796791443,2.675696849822998
17,2000,30,10,0.5,False,0.2,0.1,2523,281,0.03372323888542571,0.02469330464378238,0.27788275525508777,0.9110320284697508,6.144040107727051
18,2000,50,5,sqrt,True,0.3,0.15,2564,453,0.04162510059928053,0.02736122222856584,0.37589682901818255,0.8896247240618101,5.145262718200684
19,1000,None,2,log2,True,0.35,0.15,2661,470,0.06212347611641918,0.037140758903951944,0.2963346530230567,0.8489361702127659,3.616931200027466
20,500,15,3,0.7,False,0.3,0.15,2564,453,0.04215469337941852,0.027867375382645825,0.35991497568454056,0.8874172185430463,2.0347132682800293
21,1000,25,5,0.5,True,0.3,0.2,2413,604,0.04208990217654953,0.02808689172046636,0.3850175854560447,0.8973509933774835,3.4588189125061035
22,2000,50,10,log2,False,0.225,0.1,2596,289,0.03686177608654945,0.026273706720430577,0.2776759401048141,0.8961937716262975,4.323962211608887
23,500,50,2,0.3,True,0.225,0.25,2163,722,0.03793832751642492,0.02614641982695146,0.3224370766940048,0.8656509695290858,1.772481918334961
24,1000,None,7,0.3,True,0.2,0.1,2523,281,0.033189510845270206,0.02431597448898628,0.3005593613109595,0.8932384341637011,2.746635913848877
25,1000,None,10,0.7,False,0.25,0.2,2349,588,0.03998981573529349,0.02784032083554834,0.3036651127719304,0.9081632653061225,3.3240959644317627
26,1500,25,5,0.7,False,0.225,0.25,2163,722,0.037525402080315004,0.026374980241561572,0.33710616664395954,0.8864265927977839,5.3389880657196045
27,500,15,2,log2,True,0.3,0.2,2413,604,0.04170705132276112,0.02751372712488178,0.3961544955646996,0.902317880794702,1.3838882446289062
28,1500,None,5,0.3,False,0.3,0.25,2262,755,0.044538874329095465,0.02921152263858473,0.35840905216895125,0.8993377483443709,3.9932971000671387
29,2000,15,7,0.7,False,0.35,0.15,2661,470,0.061154910348444835,0.036761083810300264,0.3181052693412181,0.9106382978723404,7.630722999572754
30,500,40,5,0.3,True,0.2,0.25,2103,701,0.03402263364032572,0.0244548856652834,0.33245893493778933,0.8801711840228246,1.2898008823394775
31,1000,None,2,0.7,False,0.35,0.15,2661,470,0.06138759454689382,0.03678316202549301,0.31290640707631145,0.8659574468085106,5.769217014312744
32,1500,50,2,0.3,False,0.3,0.15,2564,453,0.04270742125623235,0.02824373762158423,0.3430194769853353,0.8543046357615894,6.1963818073272705
33,1500,30,7,0.3,True,0.225,0.15,2452,433,0.03794481934854091,0.026932934763038048,0.32876790474645823,0.8775981524249422,4.0967490673065186
34,500,20,1,log2,False,0.25,0.1,2643,294,0.037542197204528824,0.025642646385516506,0.3656998967260666,0.8605442176870748,2.3598811626434326
35,2000,25,10,0.7,False,0.35,0.2,2504,627,0.06166589965563084,0.03697423786663094,0.3093624797751211,0.9202551834130781,7.548998117446899
36,1000,40,2,log2,True,0.2,0.1,2523,281,0.03356463586193779,0.02401825832309313,0.2846591302649607,0.8612099644128114,3.6680908203125
37,1000,30,2,sqrt,True,0.25,0.15,2496,441,0.0405841927910407,0.027494726692186704,0.28054012420780094,0.8707482993197279,3.496663808822632
38,1500,15,10,log2,False,0.25,0.2,2349,588,0.03985798665547447,0.027871407868413432,0.3082485737349654,0.9098639455782312,3.030184030532837
39,1000,50,1,0.4,True,0.3,0.2,2413,604,0.04407072376430667,0.02928093712586524,0.32577130768926,0.8327814569536424,5.914504051208496
40,1500,50,10,log2,True,0.3,0.2,2413,604,0.04211977113123204,0.028139891687172635,0.38414443543063104,0.9254966887417219,3.12743878364563
41,1500,30,5,0.5,True,0.2,0.1,2523,281,0.03323251502842245,0.024191218858852854,0.29874563405775223,0.8861209964412812,5.7733869552612305
42,1000,20,10,0.4,True,0.2,0.1,2523,281,0.033570625341991706,0.024648880088825466,0.2844038078377076,0.896797153024911,4.176671981811523
43,1500,20,5,0.3,False,0.225,0.1,2596,289,0.03647881283650273,0.02576806436565424,0.2926066707513252,0.8788927335640139,4.837424993515015
44,2000,20,2,0.3,False,0.225,0.1,2596,289,0.03678707828709295,0.02565049184128819,0.280600451859347,0.8615916955017301,9.201035022735596
45,1500,30,1,0.3,True,0.3,0.15,2564,453,0.04346208602133938,0.028528602087532995,0.31959588577778797,0.8233995584988962,9.505336046218872
46,1000,None,2,0.7,False,0.35,0.2,2504,627,0.062157089960782265,0.03693778829383551,0.2983163256988284,0.8771929824561403,5.6417388916015625
47,1000,25,1,0.4,True,0.3,0.15,2564,453,0.0436549304839666,0.028621040564026427,0.31354448434655235,0.8300220750551877,7.045505046844482
48,1000,None,1,0.6,False,0.25,0.1,2643,294,0.037830808390730754,0.026061202844774277,0.35590985816894205,0.8639455782312925,8.24072790145874
49,1500,None,7,0.6,True,0.225,0.1,2596,289,0.03629753164156604,0.025921624032554796,0.29961997307024746,0.8754325259515571,7.584808111190796
50,1000,25,5,0.7,False,0.2,0.25,2103,701,0.03373326999413531,0.024253344584291923,0.3437655664845781,0.8773181169757489,3.757519245147705
51,1500,None,10,sqrt,True,0.2,0.15,2383,421,0.03376400962204175,0.02463311617765653,0.31238808005804286,0.9002375296912114,4.215687990188599
52,2000,50,2,0.6,False,0.2,0.2,2243,561,0.03382400879352864,0.023969020830373836,0.35585810142928764,0.8484848484848485,10.40402364730835
53,500,40,1,log2,False,0.225,0.25,2163,722,0.03905618896080899,0.02675982999607994,0.2819197257041739,0.8365650969529086,2.2296109199523926
54,1500,25,7,0.7,True,0.225,0.2,2308,577,0.037535127273700966,0.026760654368106998,0.3188026189407023,0.8890814558058926,7.398500204086304
55,1000,20,5,0.4,False,0.25,0.1,2643,294,0.03715630887775085,0.025831589340931178,0.37867255465068905,0.9183673469387755,4.017250061035156
56,1000,40,5,0.6,False,0.2,0.15,2383,421,0.033208517054961785,0.023931621748402618,0.33482743157818096,0.8788598574821853,3.8695790767669678
