feature,r2_without,delta_r2,verdict,r2_univariate,sigma_marginal_best,sigma_joint_opt
VOLC_DIST,0.3219,-0.0198,HELPFUL,-0.0843,0.1749,0.1864
VP_40_VS_50,0.3279,-0.0138,HELPFUL,-0.0411,0.1749,0.1177
CRUST_RHO,0.3302,-0.0115,HELPFUL,-0.0059,0.2312,0.2279
FREE_AIR,0.3326,-0.0091,HELPFUL,-0.1134,0.3058,0.1985
DEM,0.3328,-0.0089,HELPFUL,0.0172,0.1,0.1221
REVEAL_S220,0.3369,-0.0048,HELPFUL,-0.0613,0.1749,0.2084
LITH_RHO,0.3401,-0.0016,neutral,-0.0429,0.4044,0.5847
EMAG2_LOG,0.3401,-0.0016,neutral,-0.1089,0.7071,0.9344
MOHO,0.3404,-0.0013,neutral,0.067,0.1322,0.1919
GEOID,0.3404,-0.0013,neutral,0.0071,0.1749,0.1762
P_DIFF_40_60,0.3407,-0.001,neutral,0.0184,0.3058,0.1776
REVEAL_P210,0.3407,-0.001,neutral,-0.0235,0.1322,0.2097
REVEAL_S100,0.3408,-0.0009,neutral,-0.0639,0.1,0.5973
S_DIFF_200_220,0.3412,-0.0005,neutral,-0.0777,0.5347,1.8623
LAB,0.3419,0.0002,neutral,0.0034,0.2312,3.4454
MAG_SEIS_MOHO,0.342,0.0003,neutral,-0.0977,0.2312,4.9776
REVEAL_P40,0.342,0.0003,neutral,0.0074,0.2312,3.6956
CTD,0.342,0.0003,neutral,-0.0128,0.3058,0.5835
MOHO_GRAV,0.3421,0.0004,neutral,0.075,0.2312,2.8881
VP_120_VS_140,0.3422,0.0005,neutral,-0.0889,0.5347,1.9849
REVEAL_P60,0.3422,0.0005,neutral,-0.0642,1.6351,1.0644
REVEAL_P120,0.3422,0.0005,neutral,-0.0387,0.3058,1.0457
REVEAL_S140,0.3422,0.0005,neutral,-0.0693,5.0,3.1352
REVEAL_S200,0.3423,0.0006,neutral,-0.0726,1.6351,0.792
SI,0.3424,0.0007,neutral,-0.0509,5.0,3.1052
SEDIMENT,0.3425,0.0008,neutral,-0.0845,0.1749,1.0488
BOUGUER,0.3428,0.0011,neutral,-0.01,1.2365,0.1343
VPVS_DIFF,0.343,0.0013,neutral,-0.0549,5.0,1.1701
REVEAL_S50,0.344,0.0023,HARMFUL,-0.0424,1.2365,0.3713
