feature,r2_without,delta_r2,verdict
REVEAL_S50,0.3439717952171704,0.0022784205177830974,HARMFUL
VPVS_DIFF,0.34295734542050366,0.0012639707211163365,neutral
BOUGUER,0.3427790971552298,0.001085722455842486,neutral
SEDIMENT,0.342496001001519,0.0008026263021316815,neutral
SI,0.34242352075653104,0.0007301460571437213,neutral
REVEAL_S200,0.34232164013455496,0.0006282654351676409,neutral
REVEAL_S140,0.34223708814124687,0.0005437134418595502,neutral
REVEAL_P120,0.3421920159467088,0.000498641247321463,neutral
REVEAL_P60,0.34218696978279234,0.0004935950834050185,neutral
VP_120_VS_140,0.3421566568959637,0.0004632821965763756,neutral
MOHO_GRAV,0.3420687233234089,0.0003753486240215542,neutral
CTD,0.3420245158643089,0.00033114116492155565,neutral
REVEAL_P40,0.3419778000714783,0.0002844253720910017,neutral
MAG_SEIS_MOHO,0.3419501302131488,0.0002567555137614752,neutral
LAB,0.34192120061117826,0.00022782591179093536,neutral
S_DIFF_200_220,0.34121688424843655,-0.0004764904509507728,neutral
REVEAL_S100,0.34080033419377537,-0.0008930405056119528,neutral
REVEAL_P210,0.340721891080691,-0.0009714836186963116,neutral
P_DIFF_40_60,0.34071430964377475,-0.0009790650556125713,neutral
GEOID,0.3403896589691807,-0.0013037157302066005,neutral
MOHO,0.3403597441170467,-0.0013336305823405947,neutral
EMAG2_LOG,0.3400563739605975,-0.0016370007387898067,neutral
LITH_RHO,0.34005425996538896,-0.0016391147339983592,neutral
REVEAL_S220,0.33686287133183707,-0.004830503367550254,HELPFUL
DEM,0.3328244421183842,-0.00886893258100313,HELPFUL
FREE_AIR,0.3325851931275346,-0.009108181571852725,HELPFUL
CRUST_RHO,0.33022368039203653,-0.011469694307350786,HELPFUL
VP_40_VS_50,0.3279160734986622,-0.013777301200725123,HELPFUL
VOLC_DIST,0.3218612642436629,-0.019832110455724417,HELPFUL
