feature,r2_univariate
MOHO_GRAV,0.07496953074343493
MOHO,0.0669754666763898
P_DIFF_40_60,0.018391564704019592
DEM,0.01719061238446449
REVEAL_P40,0.007422971453248351
GEOID,0.00711218462850578
LAB,0.0034117867105016852
CRUST_RHO,-0.005889177411432511
BOUGUER,-0.009984596580234895
CTD,-0.012789493297533917
REVEAL_P210,-0.023492183844398974
REVEAL_P120,-0.03872541220837582
VP_40_VS_50,-0.04106959813257314
REVEAL_S50,-0.042411778246049914
LITH_RHO,-0.042942995388128846
SI,-0.050872343919376894
VPVS_DIFF,-0.05488762139759453
REVEAL_S220,-0.06125132354892049
REVEAL_S100,-0.06393472788724437
REVEAL_P60,-0.06421360681034635
REVEAL_S140,-0.06931698683860228
REVEAL_S200,-0.07264358117654908
S_DIFF_200_220,-0.07774696458058697
VOLC_DIST,-0.08429574306357006
SEDIMENT,-0.08453129848815344
VP_120_VS_140,-0.0889063346893904
MAG_SEIS_MOHO,-0.09770409887612437
EMAG2_LOG,-0.10893776444576671
FREE_AIR,-0.11335436768223968
