feature,r2_without,delta_r2,verdict
REVEAL_P60,0.42416280326859446,0.005571141344208774,HARMFUL
SEDIMENT,0.42256395059293905,0.00397228866855337,HARMFUL
MOHO_GRAV,0.42245307157666623,0.0038614096522805452,HARMFUL
FREE_AIR,0.4223138817971326,0.0037222198727469014,HARMFUL
REVEAL_P180,0.42216198491040735,0.003570322986021668,HARMFUL
CRUST_RHO,0.4220100133060596,0.003418351381673901,HARMFUL
REVEAL_VP90VS60,0.42166992934304737,0.0030782674186616843,HARMFUL
REVEAL_P210,0.421622915689045,0.003031253764659292,HARMFUL
REVEAL_S220,0.4215025233819464,0.0029108614575606984,HARMFUL
REVEAL_P90,0.42148150282413044,0.0028898408997447556,HARMFUL
REVEAL_S50,0.4214114884281407,0.0028198265037550074,HARMFUL
LAB,0.4214004854937292,0.0028088235693435326,HARMFUL
REVEAL_P150,0.42122403283971677,0.0026323709153310837,HARMFUL
REVEAL_S200,0.42119627234931256,0.0026046104249268787,HARMFUL
REVEAL_S100,0.420871303289047,0.0022796413646613,HARMFUL
LITH_RHO,0.4208103158424693,0.002218653918083624,HARMFUL
MOHO_U,0.42069191647597337,0.002100254551587688,HARMFUL
REVEAL_P40,0.42054548517774815,0.0019538232533624633,neutral
REVEAL_S90,0.42047038516211055,0.0018787232377248664,neutral
REVEAL_P120,0.42042536629795424,0.0018337043735685565,neutral
REVEAL_P_DIFF_40_60,0.4204224011891443,0.0018307392647586296,neutral
REVEAL_VPVS_DIFF,0.42027376619276324,0.00168210426837756,neutral
REVEAL_S140,0.4202124829380526,0.0016208210136668955,neutral
SI,0.42005899667482827,0.0014673347504425838,neutral
MOHO_GRAV_U,0.4198489975572316,0.0012573356328459129,neutral
CTD,0.4197633531568715,0.0011716912324858386,neutral
REVEAL_VP60VS70,0.419702806254834,0.0011111443304483437,neutral
BOUGUER,0.419523136760365,0.000931474835979329,neutral
REVEAL_S80,0.4193943958748596,0.0008027339504739217,neutral
EMAG2_LOG,0.41936066354201373,0.0007690016176280512,neutral
GEOID,0.4193104095642888,0.0007187476399030945,neutral
MOHO,0.4192444341749658,0.0006527722505801359,neutral
REVEAL_S_DIFF_200_220,0.4191062750277732,0.0005146131033875179,neutral
DEM,0.4179410967807825,-0.0006505651436031767,neutral
MAG_SEIS_MOHO,0.41771981535319036,-0.0008718465711953227,neutral
