feature,r2_without,delta_r2,verdict
MOHO,0.28940109825432325,-0.02185283928690729,HELPFUL
REVEAL_S70,0.2914059431411714,-0.019847994400059132,HELPFUL
BOUGUER,0.2917382678342222,-0.019515669707008354,HELPFUL
LAB,0.29527865815001153,-0.01597527939121901,HELPFUL
GEOID,0.2954453888359335,-0.01580854870529702,HELPFUL
FREE_AIR,0.29654167932976916,-0.014712258211461382,HELPFUL
SEDIMENT,0.2969280270464322,-0.014325910494798366,HELPFUL
SI,0.29879311167331346,-0.01246082586791708,HELPFUL
REVEAL_VP50VS80,0.3012586665866025,-0.009995270954628044,HELPFUL
REVEAL_S80,0.30161732460460433,-0.00963661293662621,HELPFUL
REVEAL_S100,0.3016811253134132,-0.009572812227817362,HELPFUL
DEM,0.3033569399500702,-0.00789699759116036,HELPFUL
REVEAL_P150,0.30343073909217944,-0.007823198449051105,HELPFUL
CTD,0.30431967695029927,-0.006934260590931274,HELPFUL
MOHO_GRAV,0.307389648669919,-0.0038642888713115164,HELPFUL
MAG_SEIS_MOHO,0.30793250887563905,-0.003321428665591486,HELPFUL
EMAG2_LOG,0.3081152459598676,-0.003138691581362929,HELPFUL
REVEAL_VP60VS70,0.31051006945486304,-0.0007438680863675051,neutral
REVEAL_S90,0.310900948514205,-0.0003529890270255187,neutral
LITH_RHO,0.31262185343742444,0.0013679158961938942,neutral
CRUST_RHO,0.3130432682458817,0.0017893307046511486,neutral
REVEAL_VP90VS60,0.3162550868413404,0.005001149300109864,HARMFUL
