step,feature_added,n_feats,r2,features_so_far
1,REVEAL_S80,1,0.14281342319649137,REVEAL_S80
2,CRUST_RHO,2,0.16672040471515004,REVEAL_S80|CRUST_RHO
3,LAB,3,0.1949733486692482,REVEAL_S80|CRUST_RHO|LAB
4,SI,4,0.21196012896867367,REVEAL_S80|CRUST_RHO|LAB|SI
5,REVEAL_S100,5,0.21463573298209182,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100
6,GEOID,6,0.21398972139448613,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID
7,REVEAL_S90,7,0.2230463321572651,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90
8,REVEAL_VP50VS80,8,0.21210508091750702,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80
9,EMAG2_LOG,9,0.20901363861147038,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG
10,LITH_RHO,10,0.2066118420282863,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO
11,REVEAL_VP60VS70,11,0.21217012195178497,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70
12,REVEAL_P150,12,0.21395569144078164,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150
13,SEDIMENT,13,0.2138733109357931,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT
14,FREE_AIR,14,0.21503808078850595,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR
15,MOHO,15,0.21210370230654507,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO
16,BOUGUER,16,0.21521899006029077,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO|BOUGUER
17,MOHO_GRAV,17,0.20612809916015873,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO|BOUGUER|MOHO_GRAV
18,DEM,18,0.20055008450537515,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO|BOUGUER|MOHO_GRAV|DEM
19,CTD,19,0.20252562735596236,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO|BOUGUER|MOHO_GRAV|DEM|CTD
20,REVEAL_S70,20,0.2047786039199443,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO|BOUGUER|MOHO_GRAV|DEM|CTD|REVEAL_S70
21,REVEAL_VP90VS60,21,0.19858503403405847,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO|BOUGUER|MOHO_GRAV|DEM|CTD|REVEAL_S70|REVEAL_VP90VS60
22,MAG_SEIS_MOHO,22,0.18326098314030403,REVEAL_S80|CRUST_RHO|LAB|SI|REVEAL_S100|GEOID|REVEAL_S90|REVEAL_VP50VS80|EMAG2_LOG|LITH_RHO|REVEAL_VP60VS70|REVEAL_P150|SEDIMENT|FREE_AIR|MOHO|BOUGUER|MOHO_GRAV|DEM|CTD|REVEAL_S70|REVEAL_VP90VS60|MAG_SEIS_MOHO
