n_feats,features,r2,rmse
12,REVEAL_P150|MAG_SEIS_MOHO|GEOID|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|SEDIMENT|REVEAL_S80|REVEAL_VP90VS60,0.30222478265296215,0.03751678731968881
18,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CTD|SEDIMENT|REVEAL_S80|LAB|SI,0.2827981020170879,0.038035452387628156
21,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|REVEAL_VP90VS60,0.29305186902885205,0.03776257895075624
13,REVEAL_S70|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|REVEAL_S90|LITH_RHO|DEM|REVEAL_S100|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.2801793866793153,0.03810482843608361
16,REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|CRUST_RHO|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.30673560407833844,0.037395325626857635
8,REVEAL_P150|LITH_RHO|FREE_AIR|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|SI,0.26856774645520076,0.03841093904012939
15,REVEAL_S70|REVEAL_P150|EMAG2_LOG|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|REVEAL_S100|CRUST_RHO|CTD|REVEAL_S80|LAB|SI,0.3127881825167097,0.0372317269152428
16,REVEAL_S70|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|CRUST_RHO|SEDIMENT|REVEAL_S80|REVEAL_VP90VS60,0.2918292033680082,0.037795220003613794
10,REVEAL_P150|BOUGUER|MAG_SEIS_MOHO|REVEAL_S90|MOHO|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD,0.2959933833545886,0.037683934599493915
21,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.29565649467188704,0.03769294997831152
19,REVEAL_S70|REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CTD|SEDIMENT|REVEAL_S80|LAB|SI,0.2972886413875371,0.037649252474823834
9,REVEAL_S70|BOUGUER|MOHO_GRAV|REVEAL_VP50VS80|LITH_RHO|REVEAL_S100|CRUST_RHO|CTD|SI,0.2939332406775933,0.037739031787145855
11,EMAG2_LOG|MOHO_GRAV|REVEAL_VP50VS80|REVEAL_S90|MOHO|DEM|FREE_AIR|CTD|REVEAL_S80|LAB|SI,0.29736925066880937,0.03764709300622812
