number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,system_attrs_fixed_params,state
0,0.31428153569906697,2026-05-03 13:42:06.405913,2026-05-03 13:42:14.504246,0 days 00:00:08.098333,1.0,0.05,6,0.8,20,"{'max_depth': 6, 'learning_rate': 0.05, 'min_samples_leaf': 20, 'max_features': 0.8, 'l2_regularization': 1.0}",COMPLETE
1,0.315561621247119,2026-05-03 13:42:14.505755,2026-05-03 13:42:17.274307,0 days 00:00:02.768552,0.7800932022121826,0.2536999076681771,9,0.7190609389379256,53,,COMPLETE
2,0.28108183164110684,2026-05-03 13:42:17.275094,2026-05-03 13:42:23.142795,0 days 00:00:05.867701,3.540362888980227,0.012184186502221764,5,0.7207805082202461,62,,COMPLETE
3,0.28590519247989654,2026-05-03 13:42:23.143753,2026-05-03 13:42:24.571533,0 days 00:00:01.427780,0.9091248360355031,0.27081608642499677,3,0.44863737747479326,59,,COMPLETE
4,0.30903513295651835,2026-05-03 13:42:24.572029,2026-05-03 13:42:31.797204,0 days 00:00:07.225175,1.4561457009902097,0.028145092716060652,6,0.602361513049481,39,,COMPLETE
5,0.29863521859155134,2026-05-03 13:42:31.797738,2026-05-03 13:42:41.869876,0 days 00:00:10.072138,2.28034992108518,0.01607123851203988,14,0.5564532903055842,24,,COMPLETE
6,0.3028176827252528,2026-05-03 13:42:41.870635,2026-05-03 13:42:50.477783,0 days 00:00:08.607148,0.23225206359998862,0.019721610970574007,17,0.7146901982034297,38,,COMPLETE
7,0.29286061655501655,2026-05-03 13:42:50.478551,2026-05-03 13:42:58.241547,0 days 00:00:07.762996,4.828160165372797,0.0178601378893971,13,0.9642198760773332,9,,COMPLETE
8,0.2998205014274527,2026-05-03 13:42:58.242243,2026-05-03 13:43:04.986942,0 days 00:00:06.744699,2.2007624686980067,0.028180680291847244,17,0.7789631185585097,11,,COMPLETE
9,0.3074944859814136,2026-05-03 13:43:04.987675,2026-05-03 13:43:09.439861,0 days 00:00:04.452186,1.2938999080000846,0.05388108577817234,5,0.9365242814551474,7,,COMPLETE
10,0.31933601972132725,2026-05-03 13:43:09.440673,2026-05-03 13:43:12.662967,0 days 00:00:03.222294,0.07683868664052185,0.23875379742034003,10,0.31257331293037366,50,,COMPLETE
11,0.3177122717880959,2026-05-03 13:43:12.663906,2026-05-03 13:43:15.817383,0 days 00:00:03.153477,0.018684889065917643,0.27807013472128683,10,0.3599095478855922,52,,COMPLETE
12,0.3201134240584385,2026-05-03 13:43:15.818322,2026-05-03 13:43:20.587540,0 days 00:00:04.769218,0.08217975810996413,0.13990398785836206,10,0.32361881726444136,49,,COMPLETE
13,0.3168627942732668,2026-05-03 13:43:20.588310,2026-05-03 13:43:25.361082,0 days 00:00:04.772772,3.229282203516206,0.13394617796913316,9,0.30302087158957114,70,,COMPLETE
14,0.320115297778091,2026-05-03 13:43:25.361808,2026-05-03 13:43:30.438979,0 days 00:00:05.077171,0.13657517720370677,0.10435882230584727,12,0.44210506237546676,45,,COMPLETE
15,0.3243201728166626,2026-05-03 13:43:30.440069,2026-05-03 13:43:36.139997,0 days 00:00:05.699928,1.5349422373473607,0.10615102043387638,20,0.46305821961572835,31,,COMPLETE
16,0.32280344749310874,2026-05-03 13:43:36.141142,2026-05-03 13:43:42.125143,0 days 00:00:05.984001,1.8270468405787297,0.0920422589073182,20,0.47578903622281166,28,,COMPLETE
17,0.3155640926083204,2026-05-03 13:43:42.125855,2026-05-03 13:43:46.955637,0 days 00:00:04.829782,1.803710106053958,0.08277817075693145,20,0.5185398312017094,27,,COMPLETE
18,0.3172458859386521,2026-05-03 13:43:46.956407,2026-05-03 13:43:52.469115,0 days 00:00:05.512708,2.9509331532520537,0.07671691015990104,20,0.4350784582629843,31,,COMPLETE
19,0.307250565792723,2026-05-03 13:43:52.469848,2026-05-03 13:43:55.800757,0 days 00:00:03.330909,4.0729506434007146,0.1769795361841425,16,0.493933978859033,17,,COMPLETE
20,0.31126515921697484,2026-05-03 13:43:55.801481,2026-05-03 13:44:03.286066,0 days 00:00:07.484585,2.631833571688287,0.03678740118502229,19,0.6350514948231623,37,,COMPLETE
21,0.3182481373178826,2026-05-03 13:44:03.286766,2026-05-03 13:44:07.481974,0 days 00:00:04.195208,1.5715696754040551,0.09644218365759699,18,0.40822372693513687,43,,COMPLETE
22,0.31870023282579096,2026-05-03 13:44:07.482919,2026-05-03 13:44:12.526684,0 days 00:00:05.043765,2.0879197592828826,0.11081843062045599,15,0.5581064063598102,29,,COMPLETE
23,0.31859285940622584,2026-05-03 13:44:12.527407,2026-05-03 13:44:18.028550,0 days 00:00:05.501143,0.5906457089584924,0.0695472217904475,12,0.3957340613308815,34,,COMPLETE
24,0.3172876129280306,2026-05-03 13:44:18.029284,2026-05-03 13:44:21.683875,0 days 00:00:03.654591,1.8428530537839247,0.1524143918190816,18,0.48484925652365907,44,,COMPLETE
25,0.3151383980677975,2026-05-03 13:44:21.684613,2026-05-03 13:44:27.885281,0 days 00:00:06.200668,2.642179603451287,0.06274413482189281,20,0.5766932746927906,20,,COMPLETE
26,0.32132038987520917,2026-05-03 13:44:27.886041,2026-05-03 13:44:32.439575,0 days 00:00:04.553534,1.2318252496838604,0.1083383095514535,15,0.45713989976396907,43,,COMPLETE
27,0.3189843497788819,2026-05-03 13:44:32.440537,2026-05-03 13:44:36.139654,0 days 00:00:03.699117,1.2182085337557673,0.1893070433422607,15,0.3720093279222023,33,,COMPLETE
28,0.307942950513528,2026-05-03 13:44:36.140291,2026-05-03 13:44:42.547824,0 days 00:00:06.407533,1.7666309529045867,0.04169552659993157,18,0.5150385156488105,25,,COMPLETE
29,0.3139627803041171,2026-05-03 13:44:42.548517,2026-05-03 13:44:46.847175,0 days 00:00:04.298658,0.5657575722325592,0.12155831005364472,16,0.6725722617516852,15,,COMPLETE
30,0.3103945811628215,2026-05-03 13:44:46.848055,2026-05-03 13:44:53.762728,0 days 00:00:06.914673,1.0993880868979304,0.04577887083391583,19,0.4725250663832236,20,,COMPLETE
31,0.32497487900669714,2026-05-03 13:44:53.763745,2026-05-03 13:44:59.606770,0 days 00:00:05.843025,0.5094910996647108,0.0969189386584433,12,0.43196020815112157,44,,COMPLETE
32,0.3187773739880009,2026-05-03 13:44:59.607515,2026-05-03 13:45:05.718246,0 days 00:00:06.110731,0.6175522019098982,0.0881692875877747,13,0.3603870902527255,40,,COMPLETE
33,0.31926997997690554,2026-05-03 13:45:05.718939,2026-05-03 13:45:12.712896,0 days 00:00:06.993957,1.0201679155011172,0.06482632061125196,14,0.5273149933300358,35,,COMPLETE
34,0.3173316348069754,2026-05-03 13:45:12.713653,2026-05-03 13:45:16.169358,0 days 00:00:03.455705,0.7842058853734721,0.19056829202509662,7,0.41593549331814256,58,,COMPLETE
35,0.3175579851288246,2026-05-03 13:45:16.170247,2026-05-03 13:45:20.727063,0 days 00:00:04.556816,1.5621939073322277,0.0966075889334954,19,0.8801314629317103,56,,COMPLETE
36,0.3233721787247537,2026-05-03 13:45:20.727828,2026-05-03 13:45:24.880295,0 days 00:00:04.152467,0.39830291447909505,0.15019898485658317,8,0.622007647582425,46,,COMPLETE
37,0.28718821789882076,2026-05-03 13:45:24.881207,2026-05-03 13:45:26.727985,0 days 00:00:01.846778,0.4295610140088247,0.2195613329220111,3,0.5947006851855738,46,,COMPLETE
38,0.317990546755336,2026-05-03 13:45:26.728700,2026-05-03 13:45:29.757163,0 days 00:00:03.028463,0.9588076406265379,0.15049479872500418,7,0.6386217886004579,64,,COMPLETE
39,0.32267347116893186,2026-05-03 13:45:29.758080,2026-05-03 13:45:33.083888,0 days 00:00:03.325808,0.3403565397255294,0.1673775977369504,8,0.7656222405981626,24,,COMPLETE
40,0.28268558766134655,2026-05-03 13:45:33.085057,2026-05-03 13:45:40.081168,0 days 00:00:06.996111,2.0130860777356223,0.010899671432112033,5,0.6911101604922395,40,,COMPLETE
41,0.32019028533223876,2026-05-03 13:45:40.082046,2026-05-03 13:45:43.566663,0 days 00:00:03.484617,0.43141722811164906,0.16796942700753467,7,0.766346413033203,30,,COMPLETE
42,0.3191967687686149,2026-05-03 13:45:43.567384,2026-05-03 13:45:47.737882,0 days 00:00:04.170498,0.3479280567014305,0.1264021122567999,8,0.8720397638973851,22,,COMPLETE
