step,feature_added,n_feats,r2,features_so_far
1,MOHO_GRAV,1,0.17643189812753446,MOHO_GRAV
2,REVEAL_S80,2,0.26968903364064056,"MOHO_GRAV,REVEAL_S80"
3,MOHO,3,0.35130766655144197,"MOHO_GRAV,REVEAL_S80,MOHO"
4,GEOID,4,0.3798714388993444,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID"
5,REVEAL_P60,5,0.39773739937427455,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60"
6,REVEAL_P150,6,0.4038005709295621,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150"
7,DEM,7,0.41389794688872816,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM"
8,SEDIMENT,8,0.41889604662699864,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT"
9,REVEAL_P_DIFF_40_60,9,0.42072478489674303,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60"
10,REVEAL_S_DIFF_200_220,10,0.42347077595249405,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220"
11,REVEAL_P90,11,0.4247911409446927,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90"
12,REVEAL_S100,12,0.4261703850951517,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100"
13,EMAG2_LOG,13,0.42529060548635933,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG"
14,MAG_SEIS_MOHO,14,0.42750121439522537,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO"
15,CTD,15,0.42876090031236036,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD"
16,REVEAL_P120,16,0.42620220487421623,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120"
17,BOUGUER,17,0.42683608515264515,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120,BOUGUER"
18,REVEAL_P210,18,0.42787390809177284,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120,BOUGUER,REVEAL_P210"
19,REVEAL_S200,19,0.4266015689008664,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120,BOUGUER,REVEAL_P210,REVEAL_S200"
20,REVEAL_S50,20,0.4276447477900097,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120,BOUGUER,REVEAL_P210,REVEAL_S200,REVEAL_S50"
21,REVEAL_P180,21,0.4262545026453227,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120,BOUGUER,REVEAL_P210,REVEAL_S200,REVEAL_S50,REVEAL_P180"
22,LAB,22,0.42542862105294665,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120,BOUGUER,REVEAL_P210,REVEAL_S200,REVEAL_S50,REVEAL_P180,LAB"
23,REVEAL_P40,23,0.4266723016042373,"MOHO_GRAV,REVEAL_S80,MOHO,GEOID,REVEAL_P60,REVEAL_P150,DEM,SEDIMENT,REVEAL_P_DIFF_40_60,REVEAL_S_DIFF_200_220,REVEAL_P90,REVEAL_S100,EMAG2_LOG,MAG_SEIS_MOHO,CTD,REVEAL_P120,BOUGUER,REVEAL_P210,REVEAL_S200,REVEAL_S50,REVEAL_P180,LAB,REVEAL_P40"
