feature,inclusion_rate,top_quartile_rate
MOHO,0.97,0.9933333333333333
MOHO_GRAV,0.76,0.8466666666666667
DEM,0.62,0.8466666666666667
REVEAL_S50,0.6666666666666666,0.8266666666666667
GEOID,0.62,0.8133333333333334
REVEAL_P60,0.68,0.7933333333333333
BOUGUER,0.64,0.7933333333333333
REVEAL_P180,0.6366666666666667,0.7933333333333333
EMAG2_LOG,0.6133333333333333,0.7933333333333333
SEDIMENT,0.6066666666666667,0.7866666666666666
REVEAL_P120,0.6466666666666666,0.78
REVEAL_P90,0.6166666666666667,0.7733333333333333
REVEAL_S_DIFF_200_220,0.6033333333333334,0.7733333333333333
SI,0.65,0.7733333333333333
REVEAL_P_DIFF_40_60,0.6066666666666667,0.76
REVEAL_S90,0.6066666666666667,0.7533333333333333
REVEAL_VP90VS60,0.6866666666666666,0.7533333333333333
REVEAL_S200,0.6166666666666667,0.7533333333333333
MAG_SEIS_MOHO,0.56,0.7533333333333333
REVEAL_S220,0.5833333333333334,0.7466666666666667
REVEAL_P210,0.5966666666666667,0.7466666666666667
REVEAL_S100,0.5966666666666667,0.7466666666666667
REVEAL_P40,0.5866666666666667,0.7333333333333333
REVEAL_VPVS_DIFF,0.6033333333333334,0.7266666666666667
REVEAL_S140,0.65,0.7266666666666667
REVEAL_S80,0.6266666666666667,0.72
LITH_RHO,0.58,0.7133333333333334
CTD,0.6166666666666667,0.7133333333333334
REVEAL_VP60VS70,0.6,0.7066666666666667
REVEAL_P150,0.5933333333333334,0.7066666666666667
CRUST_RHO,0.63,0.6933333333333334
FREE_AIR,0.59,0.68
LAB,0.56,0.6666666666666666
