run,n_feats,r2,rmse,features
1,21,0.412481839559122,0.03442536222719128,"MOHO,MOHO_GRAV,SI,REVEAL_S80,REVEAL_S90,REVEAL_P150,REVEAL_VP60VS70,REVEAL_VP90VS60,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,SEDIMENT,REVEAL_S_DIFF_200_220,CTD,REVEAL_VPVS_DIFF,REVEAL_S200,REVEAL_P40,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_U"
2,13,0.40495534235619823,0.03464516636655439,"DEM,LAB,REVEAL_S80,REVEAL_S90,REVEAL_VP90VS60,LITH_RHO,CRUST_RHO,SEDIMENT,REVEAL_S50,REVEAL_S140,REVEAL_S220,REVEAL_P120,REVEAL_P210"
3,12,0.41169399843776155,0.034448436092461315,"MOHO_GRAV,GEOID,REVEAL_VP60VS70,CRUST_RHO,MAG_SEIS_MOHO,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,REVEAL_S140,REVEAL_S220,REVEAL_P60,REVEAL_P90,MOHO_U"
4,20,0.4191131112169193,0.034230532721396416,"MOHO,DEM,FREE_AIR,BOUGUER,SI,REVEAL_S90,REVEAL_P180,REVEAL_P150,MAG_SEIS_MOHO,SEDIMENT,REVEAL_P_DIFF_40_60,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S220,REVEAL_P60,REVEAL_P90,REVEAL_P210"
5,23,0.4146575062520371,0.0343615620015791,"MOHO_GRAV,DEM,LAB,FREE_AIR,GEOID,REVEAL_P180,REVEAL_P150,REVEAL_VP60VS70,LITH_RHO,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,CTD,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S50,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P90,REVEAL_P120,REVEAL_P210"
6,14,0.41685874960101466,0.03429689097050911,"MOHO,MOHO_GRAV,DEM,LAB,BOUGUER,REVEAL_P180,REVEAL_VP60VS70,CRUST_RHO,SEDIMENT,REVEAL_S220,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U"
7,26,0.41656085335075066,0.03430565009252338,"MOHO,LAB,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S80,REVEAL_S90,REVEAL_P180,REVEAL_P150,REVEAL_VP60VS70,REVEAL_VP90VS60,LITH_RHO,MAG_SEIS_MOHO,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,CTD,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S100,REVEAL_S140,REVEAL_S220,REVEAL_P60,REVEAL_P120,REVEAL_P210,MOHO_U"
8,33,0.4186196016012814,0.03424507041443829,"MOHO,MOHO_GRAV,DEM,LAB,FREE_AIR,BOUGUER,SI,GEOID,REVEAL_S80,REVEAL_S90,REVEAL_P180,REVEAL_P150,REVEAL_VP60VS70,REVEAL_VP90VS60,LITH_RHO,CRUST_RHO,MAG_SEIS_MOHO,SEDIMENT,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,CTD,EMAG2_LOG,REVEAL_VPVS_DIFF,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P60,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U,MOHO_U"
9,20,0.42172986315980676,0.03415334564897529,"MOHO_GRAV,DEM,LAB,SI,GEOID,REVEAL_S80,REVEAL_VP90VS60,SEDIMENT,EMAG2_LOG,REVEAL_S50,REVEAL_S100,REVEAL_S140,REVEAL_S200,REVEAL_S220,REVEAL_P40,REVEAL_P60,REVEAL_P90,REVEAL_P120,REVEAL_P210,MOHO_GRAV_U"
10,17,0.4159345775433695,0.034324057356045934,"LAB,BOUGUER,REVEAL_S80,REVEAL_S90,REVEAL_P180,REVEAL_P150,LITH_RHO,SEDIMENT,REVEAL_S_DIFF_200_220,REVEAL_P_DIFF_40_60,EMAG2_LOG,REVEAL_S50,REVEAL_S100,REVEAL_P40,REVEAL_P90,REVEAL_P120,MOHO_U"
