run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
1,2000,15,1,0.7,True,0.25,0.1,27375,3042,0.025230624788218095,0.014772084740693142,0.4074773412885191,0.9352399737015121,97.81205487251282
2,1000,30,3,sqrt,False,0.3,0.25,22950,7650,0.027739797947110033,0.015164199686853218,0.43773717094948117,0.9116339869281046,24.59933114051819
3,1500,15,10,0.7,True,0.225,0.1,27264,3030,0.02337860175686348,0.014212037311594504,0.44406489000353955,0.9432343234323433,64.43923997879028
4,2000,40,10,0.4,False,0.3,0.25,22950,7650,0.028179057031894723,0.015660873794464937,0.4197893466643625,0.930718954248366,56.382628202438354
5,500,25,5,sqrt,False,0.25,0.15,25854,4563,0.02501143175661765,0.014496755016857954,0.4434724637092794,0.9250493096646942,11.556258916854858
6,1000,15,2,0.4,True,0.35,0.2,24677,6170,0.035153437777135484,0.017873275702613173,0.38736773839105343,0.9299837925445705,30.816190004348755
7,500,25,2,0.7,False,0.2,0.15,25577,4514,0.02144976041482336,0.013107157709924672,0.4832972995223014,0.907620735489588,30.670695066452026
8,1000,50,3,0.4,True,0.25,0.2,24333,6084,0.025084607148502604,0.01431597782157568,0.440591270863657,0.9012163050624589,39.54094910621643
9,1000,25,5,0.5,False,0.225,0.25,22720,7574,0.02336528570625881,0.014004906561671937,0.45343904892917897,0.9247425402693424,35.24937200546265
10,2000,50,7,0.6,False,0.225,0.15,25749,4545,0.022973974106205282,0.013604327902813492,0.46807690574163896,0.9313531353135314,86.67490100860596
11,1000,50,7,0.6,False,0.25,0.15,25854,4563,0.024886691268865592,0.014393032982104087,0.44900980380896616,0.9226386149463073,43.70252799987793
12,2000,None,2,0.5,False,0.25,0.15,25854,4563,0.025110208681254582,0.01431820660555507,0.439068027460522,0.8921761998685076,108.28724980354309
13,500,15,1,0.7,True,0.225,0.2,24235,6059,0.023800285899429768,0.014470054189130138,0.436161887413696,0.9305165868955273,22.214391946792603
14,1000,25,5,0.7,True,0.2,0.2,24072,6019,0.021670727070428806,0.013299369042471035,0.473667661846808,0.9210832364180096,49.04204797744751
15,2000,25,3,0.7,True,0.225,0.15,25749,4545,0.02287659417768264,0.01344186127941502,0.4725766804052618,0.9205720572057206,115.74668884277344
16,1000,40,3,sqrt,True,0.2,0.2,24072,6019,0.021648878259194454,0.013224499849460227,0.47472844201783604,0.9046353214819738,26.729585886001587
17,2000,30,10,0.5,False,0.2,0.1,27081,3010,0.02122987410713315,0.013152496658064708,0.4843127617867463,0.9418604651162791,77.38244199752808
18,2000,50,5,sqrt,True,0.3,0.15,26010,4590,0.02733140438683137,0.014986314669276475,0.4463072971731912,0.9226579520697168,49.80300974845886
19,1000,None,2,log2,True,0.35,0.15,26219,4628,0.033735426434702495,0.016946218922442215,0.44157440211998156,0.8876404494382022,35.07390999794006
20,500,15,3,0.7,False,0.3,0.15,26010,4590,0.028074151802309603,0.015902000020003998,0.41580452069128804,0.9287581699346406,22.30209517478943
21,1000,25,5,0.5,True,0.3,0.2,24480,6120,0.02741500648381499,0.014979378152026029,0.441912278506438,0.9212418300653594,40.99012207984924
22,2000,50,10,log2,False,0.225,0.1,27264,3030,0.02304423057952341,0.013900476950924084,0.45985363116406497,0.9392739273927393,43.276599168777466
23,500,50,2,0.3,True,0.225,0.25,22720,7574,0.02350061091316586,0.013960075296704556,0.4470896584178471,0.8914708212305255,18.050801277160645
24,1000,None,7,0.3,True,0.2,0.1,27081,3010,0.02126569771219598,0.013056603844873794,0.4825709368162888,0.9299003322259136,28.92967391014099
25,1000,None,10,0.7,False,0.25,0.2,24333,6084,0.02534886112308172,0.014722621651428885,0.4287429994409102,0.9312952005259697,44.49075388908386
26,1500,25,5,0.7,False,0.225,0.25,22720,7574,0.0233587832118402,0.013994242531933446,0.4537432194018133,0.9244784790071296,67.30915212631226
27,500,15,2,log2,True,0.3,0.2,24480,6120,0.02810322994991728,0.01578196961154395,0.41354021649352535,0.9348039215686275,10.022774934768677
28,1500,None,5,0.3,False,0.3,0.25,22950,7650,0.02778072386997498,0.01528459783696131,0.4360768776804258,0.9188235294117647,41.09841823577881
29,2000,15,7,0.7,False,0.35,0.15,26219,4628,0.03528671059757472,0.018263324331361862,0.38903650693683756,0.9353932584269663,91.0099868774414
30,500,40,5,0.3,True,0.2,0.25,22568,7523,0.022005910189232838,0.013455697323864837,0.46105721537571276,0.9126678186893527,13.136045217514038
31,1000,None,2,0.7,False,0.35,0.15,26219,4628,0.03417642476418688,0.017106791251615214,0.4268792047743749,0.8917458945548833,72.22114896774292
32,1500,50,2,0.3,False,0.3,0.15,26010,4590,0.027420815184025935,0.014949500288610439,0.44267871802325176,0.8941176470588236,69.26925373077393
33,1500,30,7,0.3,True,0.225,0.15,25749,4545,0.023137517436193196,0.013675914378130597,0.460476818133569,0.9333333333333333,48.02249884605408
34,500,20,1,log2,False,0.25,0.1,27375,3042,0.024861059698506157,0.014211394443516063,0.42470814474695795,0.9184746877054569,16.134323835372925
35,2000,25,10,0.7,False,0.35,0.2,24677,6170,0.034867829719534275,0.01747470208001572,0.39728209832581685,0.9286871961102107,90.45994782447815
36,1000,40,2,log2,True,0.2,0.1,27081,3010,0.02117095704324918,0.01278884261411295,0.4871710565388828,0.8930232558139535,34.57778573036194
37,1000,30,2,sqrt,True,0.25,0.15,25854,4563,0.025071696259384556,0.014318483236894764,0.44078735066578467,0.8976550515012054,31.740941047668457
38,1500,15,10,log2,False,0.25,0.2,24333,6084,0.02595994193647095,0.01554249314561347,0.400868622887111,0.940664036817883,25.20957589149475
39,1000,50,1,0.4,True,0.3,0.2,24480,6120,0.02777696527746491,0.015078724801649393,0.42707819212437126,0.8619281045751634,57.48374915122986
40,1500,50,10,log2,True,0.3,0.2,24480,6120,0.02806622269965602,0.01548738899443678,0.41508373830450085,0.932843137254902,28.327696323394775
41,1500,30,5,0.5,True,0.2,0.1,27081,3010,0.021037156298088628,0.012860127318345755,0.493632745046119,0.9215946843853821,64.74684596061707
