feature,r2_without,delta_r2,verdict
MOHO,0.40852768927346095,-0.006056691860038765,HELPFUL
REVEAL_VP60VS70,0.40881975774317614,-0.0057646233903235755,HELPFUL
REVEAL_S70,0.4097476294931599,-0.004836751640339809,HELPFUL
DEM,0.409935673052219,-0.004648708081280706,HELPFUL
SI,0.4104908170893543,-0.0040935640441454035,HELPFUL
SEDIMENT,0.41055708868033525,-0.004027292453164466,HELPFUL
LITH_RHO,0.41098180562133424,-0.0036025755121654734,HELPFUL
REVEAL_VP90VS60,0.4114571025674616,-0.0031272785660381164,HELPFUL
BOUGUER,0.4115407657567328,-0.003043615376766895,HELPFUL
REVEAL_VP50VS80,0.41175474304523507,-0.002829638088264641,HELPFUL
GEOID,0.4120475954435886,-0.002536785689911114,HELPFUL
FREE_AIR,0.4123037152951845,-0.00228066583831521,HELPFUL
EMAG2_LOG,0.41239158596119196,-0.002192795172307749,HELPFUL
REVEAL_P150,0.41306229320457555,-0.0015220879289241651,neutral
REVEAL_S100,0.413190263755143,-0.0013941173783567073,neutral
MAG_SEIS_MOHO,0.41328129142156467,-0.001303089711935046,neutral
CTD,0.4133332544035343,-0.0012511267299654127,neutral
REVEAL_S80,0.41341348827701696,-0.0011708928564827525,neutral
LAB,0.4141728646995032,-0.00041151643399650606,neutral
MOHO_GRAV,0.41595572053013485,0.0013713393966351406,neutral
CRUST_RHO,0.41747757242924277,0.0028931912957430583,HARMFUL
REVEAL_S90,0.4179129423099982,0.00332856117649849,HARMFUL
