step,feature_added,n_feats,r2,features_so_far
1,MOHO_GRAV,1,0.17643189812753446,MOHO_GRAV
2,REVEAL_S80,2,0.26968903364064056,MOHO_GRAV|REVEAL_S80
3,MOHO,3,0.3530622343721793,MOHO_GRAV|REVEAL_S80|MOHO
4,GEOID,4,0.3805869855437818,MOHO_GRAV|REVEAL_S80|MOHO|GEOID
5,REVEAL_P150,5,0.39425007658613653,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150
6,DEM,6,0.402017347581746,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM
7,SEDIMENT,7,0.41241456571339385,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT
8,MAG_SEIS_MOHO,8,0.415233281555655,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO
9,BOUGUER,9,0.4163997139825577,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER
10,LITH_RHO,10,0.4187759349262853,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO
11,FREE_AIR,11,0.4186489598179447,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR
12,EMAG2_LOG,12,0.4203315737240795,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG
13,REVEAL_S100,13,0.42052403409083006,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100
14,REVEAL_VP60VS70,14,0.4217650510972766,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70
15,CTD,15,0.4206592064303336,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD
16,REVEAL_S70,16,0.4207465134667838,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S70
17,SI,17,0.4207800399856123,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S70|SI
18,REVEAL_VP50VS80,18,0.41956498925873564,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S70|SI|REVEAL_VP50VS80
19,REVEAL_S90,19,0.4183557237390264,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S70|SI|REVEAL_VP50VS80|REVEAL_S90
20,LAB,20,0.41717077550739967,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S70|SI|REVEAL_VP50VS80|REVEAL_S90|LAB
21,REVEAL_VP90VS60,21,0.4150261744261048,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S70|SI|REVEAL_VP50VS80|REVEAL_S90|LAB|REVEAL_VP90VS60
22,CRUST_RHO,22,0.41549284458686975,MOHO_GRAV|REVEAL_S80|MOHO|GEOID|REVEAL_P150|DEM|SEDIMENT|MAG_SEIS_MOHO|BOUGUER|LITH_RHO|FREE_AIR|EMAG2_LOG|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S70|SI|REVEAL_VP50VS80|REVEAL_S90|LAB|REVEAL_VP90VS60|CRUST_RHO
