n_feats,features,r2,rmse
12,EMAG2_LOG|LITH_RHO|MOHO|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|REVEAL_VP90VS60|GEOID|REVEAL_S100,0.41206184454192785,0.03443766473844855
18,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|LAB|MOHO|REVEAL_S80|CTD|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT,0.4113376231307905,0.034458868344841354
21,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|REVEAL_S100,0.41055708868033525,0.03448170607412272
13,REVEAL_P150|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|REVEAL_S80|CTD|SI|BOUGUER|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.40403084598050065,0.03467206930511703
16,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|CTD|DEM|SI|REVEAL_S90|BOUGUER|MOHO_GRAV|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4094200096820918,0.034514948931299014
8,EMAG2_LOG|CTD|REVEAL_S90|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|SEDIMENT,0.38855685038304233,0.035119305002268515
15,REVEAL_P150|EMAG2_LOG|CRUST_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|BOUGUER|MOHO_GRAV|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT,0.41080793504197843,0.03447436818712393
16,REVEAL_P150|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|MOHO_GRAV|REVEAL_VP90VS60|GEOID|REVEAL_S100,0.40412103487443907,0.03466944571807919
10,EMAG2_LOG|REVEAL_VP50VS80|LITH_RHO|REVEAL_S80|DEM|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR,0.3828020895308293,0.03528418532627056
21,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4133332544035343,0.034400409048716656
19,REVEAL_P150|EMAG2_LOG|CRUST_RHO|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT,0.4121947621753618,0.03443377178509009
9,REVEAL_P150|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|CTD|BOUGUER|MOHO_GRAV|FREE_AIR|SEDIMENT,0.3985857634780543,0.03483010014397934
11,CRUST_RHO|MAG_SEIS_MOHO|LAB|REVEAL_S80|DEM|SI|REVEAL_S90|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT,0.4041652399867567,0.0346681597227211
17,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70|REVEAL_S100,0.398221617501618,0.03484064306162758
7,EMAG2_LOG|LITH_RHO|CTD|DEM|FREE_AIR|GEOID|SEDIMENT,0.3782226274608038,0.03541484355302268
10,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|DEM|REVEAL_S90|FREE_AIR|SEDIMENT|REVEAL_S100,0.3935030199685564,0.03497697062652039
16,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LAB|MOHO|CTD|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|SEDIMENT|REVEAL_S100,0.4061394872272248,0.03461067708423403
19,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4104894184134642,0.03448368533219917
11,CRUST_RHO|REVEAL_VP50VS80|LAB|MOHO|REVEAL_S80|CTD|DEM|REVEAL_S90|REVEAL_VP60VS70|GEOID|REVEAL_S70,0.40518657907651545,0.03463843408773028
18,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|REVEAL_S80|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT|REVEAL_S100,0.39905931161173136,0.03481638499063803
21,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|SEDIMENT|REVEAL_S100,0.4097476294931599,0.03450537414897056
11,REVEAL_P150|EMAG2_LOG|CRUST_RHO|MAG_SEIS_MOHO|LAB|CTD|DEM|MOHO_GRAV|FREE_AIR|REVEAL_S70|SEDIMENT,0.4019128696533323,0.03473362407984127
13,REVEAL_P150|EMAG2_LOG|LITH_RHO|MAG_SEIS_MOHO|MOHO|CTD|DEM|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|SEDIMENT|REVEAL_S100,0.41046208688531827,0.03448448470792008
13,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|DEM|SI|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|SEDIMENT|REVEAL_S100,0.3966973592148708,0.0348847394885913
8,EMAG2_LOG|LITH_RHO|LAB|MOHO|CTD|BOUGUER|REVEAL_VP60VS70|GEOID,0.3997084245645607,0.03479757625206183
5,REVEAL_S90|MOHO_GRAV|REVEAL_VP90VS60|GEOID|SEDIMENT,0.3648516421772894,0.03579360661529921
10,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|LAB|DEM|SI|REVEAL_S90|BOUGUER|GEOID,0.4006308683607206,0.034770829958787046
6,REVEAL_VP50VS80|LITH_RHO|CTD|SI|MOHO_GRAV|REVEAL_S100,0.36392246019478647,0.03581977894099556
17,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|MOHO|DEM|SI|REVEAL_S90|BOUGUER|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41518486909962204,0.034346079532137946
5,CRUST_RHO|LITH_RHO|LAB|GEOID|REVEAL_S100,0.35496812139124523,0.03607102307800214
10,EMAG2_LOG|CRUST_RHO|LAB|REVEAL_S80|CTD|SI|FREE_AIR|GEOID|REVEAL_S70|REVEAL_S100,0.39273320935289346,0.034999161260269716
10,EMAG2_LOG|CRUST_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|CTD|SI|BOUGUER|SEDIMENT|REVEAL_S100,0.40065918150615376,0.034770008692609045
14,CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|CTD|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|REVEAL_VP90VS60|GEOID|REVEAL_S70|REVEAL_S100,0.4030886440643703,0.03469946601549701
14,REVEAL_P150|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|CTD|SI|REVEAL_S90|REVEAL_VP60VS70|FREE_AIR|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4036576713538109,0.034682922812905394
9,EMAG2_LOG|REVEAL_VP50VS80|MAG_SEIS_MOHO|MOHO|DEM|REVEAL_S90|REVEAL_VP60VS70|REVEAL_S70|SEDIMENT,0.3859355852870181,0.0351945029638154
20,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4163821193190429,0.034310904383105606
8,EMAG2_LOG|REVEAL_S80|CTD|SI|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|REVEAL_VP90VS60,0.3693830607769534,0.03566569465359209
13,CRUST_RHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4010359302775388,0.03475907867006456
