run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
1,2000,15,1,0.7,True,0.25,0.1,27375,3042,0.02535910197460036,0.014842891517074032,0.4014275930257414,0.9319526627218935,82.60433721542358
2,1000,30,3,sqrt,False,0.3,0.25,22950,7650,0.027837265105089205,0.01529543051523586,0.4337790716784803,0.9155555555555556,26.562731981277466
3,1500,15,10,0.7,True,0.225,0.1,27264,3030,0.023469560580690926,0.014320960864853351,0.43973053546517016,0.9415841584158415,53.908249855041504
4,2000,40,10,0.4,False,0.3,0.25,22950,7650,0.0283723530860278,0.015858739896815112,0.4118020610620525,0.9332026143790849,47.60542607307434
5,500,25,5,sqrt,False,0.25,0.15,25854,4563,0.025168237897191234,0.014627036830211066,0.4364724254325517,0.9268025421871575,12.13352084159851
6,1000,15,2,0.4,True,0.35,0.2,24677,6170,0.03514641265268773,0.017893434188276377,0.38761257292840656,0.9290113452188007,26.23590898513794
7,500,25,2,0.7,False,0.2,0.15,25577,4514,0.021594164307266944,0.013197799536183191,0.47631679836969143,0.9056269384138237,25.66214394569397
8,1000,50,3,0.4,True,0.25,0.2,24333,6084,0.02514996707087658,0.014397422973361617,0.4376723058849139,0.908284023668639,35.182137966156006
9,1000,25,5,0.5,False,0.225,0.25,22720,7574,0.023469967370625913,0.014135801214021282,0.4485306494768374,0.9275151835225772,33.925940990448
10,2000,50,7,0.6,False,0.225,0.15,25749,4545,0.0231295696172324,0.013784723535168204,0.46084741070982815,0.9333333333333333,76.40073800086975
11,1000,50,7,0.6,False,0.25,0.15,25854,4563,0.0250730315728316,0.014572393049108399,0.4407277819754275,0.9239535393381547,37.521748065948486
12,2000,None,2,0.5,False,0.25,0.15,25854,4563,0.02502144359631231,0.014331429723309103,0.443026829111822,0.8967784352399737,99.48097515106201
13,500,15,1,0.7,True,0.225,0.2,24235,6059,0.02391631310722548,0.014589337846919327,0.43065102709314307,0.9333223304175606,18.907840728759766
14,1000,25,5,0.7,True,0.2,0.2,24072,6019,0.021816535978290953,0.013415790677693747,0.4665611052100165,0.9192556903140057,41.287357807159424
15,2000,25,3,0.7,True,0.225,0.15,25749,4545,0.022961062206151416,0.013524454204571542,0.4686746436664945,0.9221122112211221,95.77388906478882
16,1000,40,3,sqrt,True,0.2,0.2,24072,6019,0.021847531370871885,0.013429231502517219,0.46504428390961283,0.9074597109154344,27.502556800842285
17,2000,30,10,0.5,False,0.2,0.1,27081,3010,0.021467808229008227,0.01335020651968393,0.47268884274871126,0.9395348837209302,65.90890908241272
18,2000,50,5,sqrt,True,0.3,0.15,26010,4590,0.027501297520788115,0.015119052175217496,0.4394023497138776,0.924400871459695,50.5559720993042
19,1000,None,2,log2,True,0.35,0.15,26219,4628,0.03403731731688639,0.017088822704388124,0.4315352282920947,0.891961970613656,36.58428478240967
20,500,15,3,0.7,False,0.3,0.15,26010,4590,0.02803122948348611,0.015941930649341265,0.4175894975842307,0.9320261437908497,18.521297931671143
