feature,r2_without,delta_r2,verdict,r2_univariate,sigma_marginal_best,sigma_joint_opt
FREE_AIR,0.4274,-0.0053,HELPFUL,0.0106,1.0536,1.066
REVEAL_P150,0.4293,-0.0035,HELPFUL,0.1309,0.5179,0.3181
MOHO,0.4301,-0.0027,HELPFUL,0.0796,0.25,0.2725
CTD,0.4307,-0.002,HELPFUL,0.0429,0.5179,0.3924
REVEAL_VP50VS80,0.4308,-0.002,HELPFUL,0.1616,0.5179,0.4948
DEM,0.4309,-0.0018,neutral,0.0665,0.5179,0.2831
BOUGUER,0.4311,-0.0017,neutral,0.0709,0.25,0.3749
SEDIMENT,0.4318,-0.001,neutral,0.0598,0.5179,0.7317
GEOID,0.432,-0.0008,neutral,0.0082,1.3214,1.1753
LAB,0.4321,-0.0007,neutral,0.089,0.7857,1.0125
MOHO_GRAV,0.4324,-0.0004,neutral,0.0135,1.0536,0.977
LITH_RHO,0.4324,-0.0004,neutral,0.0768,1.3214,1.3299
REVEAL_S70,0.4324,-0.0004,neutral,0.1949,0.5179,0.3739
CRUST_RHO,0.4327,-0.0001,neutral,0.0365,1.3214,0.8232
REVEAL_S100,0.4328,0.0,neutral,0.0589,4.0,3.1538
REVEAL_VP60VS70,0.4328,0.0,neutral,0.0628,4.0,3.0045
REVEAL_S90,0.4328,0.0,neutral,0.1651,3.1964,1.0418
REVEAL_S80,0.4328,0.0,neutral,0.1293,4.0,1.7557
MAG_SEIS_MOHO,0.4328,0.0001,neutral,0.0054,1.8571,1.0896
REVEAL_VP90VS60,0.4329,0.0001,neutral,0.1404,4.0,1.15
EMAG2_LOG,0.433,0.0002,neutral,0.0079,2.125,1.3033
SI,0.4338,0.001,neutral,0.0118,2.9286,0.9587
