K,cv_r2
2.0,0.2513169765472412
2.75,0.3392678380012512
3.5,0.39354218244552613
4.25,0.42271860837936404
5.0,0.4358590841293335
5.75,0.4404585242271423
6.5,0.4407897114753723
7.25,0.4390141010284424
8.0,0.43622531890869143
8.75,0.43298873901367185
9.5,0.42960104942321775
10.25,0.4262183904647827
11.0,0.4229214072227478
11.75,0.4197495818138123
12.5,0.4167198657989502
13.25,0.4138365626335144
14.0,0.4110973715782166
14.75,0.40849636793136596
15.5,0.40602596998214724
16.25,0.4036779642105103
17.0,0.40144413709640503
17.75,0.39931650161743165
18.5,0.3972875714302063
19.25,0.39535027742385864
20.0,0.39349818229675293
