feature,r2_without,delta_r2,verdict,sigma
CRUST_RHO,0.14752597808837892,-0.014472413063049305,HELPFUL,1.1203217594591621
MOHO,0.1562635898590088,-0.005734801292419434,HELPFUL,0.8126829365803818
GEOID,0.15659891366958617,-0.005399477481842052,HELPFUL,1.2432324616991386
LITH_RHO,0.1588819742202759,-0.0031164169311523326,HELPFUL,1.0887647418071629
MOHO_GRAV,0.15893361568450928,-0.0030647754669189398,HELPFUL,0.8490738604224064
REVEAL_P150,0.15975879430770873,-0.0022395968437194935,HELPFUL,1.306152842321652
REVEAL_S70,0.16073487997055053,-0.0012635111808776966,neutral,0.796319112531924
SEDIMENT,0.1611289620399475,-0.0008694291114807184,neutral,3.282046871483422
EMAG2_LOG,0.16138110160827637,-0.0006172895431518499,neutral,2.9014457252572
REVEAL_S80,0.16156692504882814,-0.00043146610260008655,neutral,0.38864737245900355
CTD,0.16175312995910646,-0.00024526119232176624,neutral,2.633823848657125
DEM,0.1618550419807434,-0.00014334917068481445,neutral,1.8595187221667115
BOUGUER,0.16188039779663085,-0.00011799335479736883,neutral,3.168480635545655
REVEAL_VP90VS60,0.16202967166900634,3.12805175781139e-05,neutral,1.7913349464731168
REVEAL_VP50VS80,0.1621086835861206,0.00011029243469237726,neutral,3.0049640531008883
REVEAL_S100,0.16215606927871704,0.0001576781272888128,neutral,2.809153822528782
LAB,0.1622028350830078,0.00020444393157958984,neutral,1.8052049578331748
FREE_AIR,0.1622149109840393,0.00021651983261108954,neutral,3.622969041299971
SI,0.16224973201751708,0.0002513408660888561,neutral,2.372970027469654
REVEAL_S90,0.1622535467147827,0.0002551555633544811,neutral,2.020891871780929
REVEAL_VP60VS70,0.16226272583007811,0.00026433467864989124,neutral,2.269043075783448
MAG_SEIS_MOHO,0.1626522183418274,0.0006538271903991644,neutral,3.4097235379994695
