feature,r2_without,delta_r2,verdict
FREE_AIR,0.41435214281082156,-0.008228290081024159,HELPFUL
REVEAL_P150,0.41450105905532836,-0.008079373836517356,HELPFUL
GEOID,0.4168231725692749,-0.00575726032257079,HELPFUL
MOHO,0.41779528856277465,-0.004785144329071067,HELPFUL
LITH_RHO,0.41805424690246584,-0.004526185989379872,HELPFUL
REVEAL_VP50VS80,0.41942769289016724,-0.003152740001678478,HELPFUL
BOUGUER,0.4196067571640015,-0.0029736757278442383,HELPFUL
SEDIMENT,0.4200919508934021,-0.0024884819984435924,HELPFUL
EMAG2_LOG,0.4204060912132263,-0.002174341678619407,HELPFUL
MOHO_GRAV,0.42128218412399293,-0.0012982487678527832,neutral
CTD,0.4215887188911438,-0.0009917140007019154,neutral
CRUST_RHO,0.4216045022010803,-0.0009759306907654031,neutral
REVEAL_S70,0.4217428207397461,-0.0008376121520995983,neutral
DEM,0.42242261171340945,-0.0001578211784362682,neutral
MAG_SEIS_MOHO,0.4224457621574402,-0.00013467073440553978,neutral
REVEAL_S100,0.4224768400192261,-0.0001035928726196289,neutral
REVEAL_S80,0.4225725054740906,-7.927417755126953e-06,neutral
REVEAL_S90,0.42257261276245117,-7.820129394542352e-06,neutral
REVEAL_VP90VS60,0.4225728392601013,-7.59363174440697e-06,neutral
LAB,0.42257466316223147,-5.76972961424671e-06,neutral
REVEAL_VP60VS70,0.42257845401763916,-1.978874206554071e-06,neutral
SI,0.4232021331787109,0.0006217002868652011,neutral
