feature,r2_univariate
REVEAL_VP60VS70,0.06283223628997803
REVEAL_S100,0.058884942531585695
REVEAL_P150,0.13094396591186525
FREE_AIR,0.0105973482131958
CTD,0.04294242858886719
REVEAL_S70,0.19487806558609008
MAG_SEIS_MOHO,0.0054444074630737305
BOUGUER,0.07089941501617432
LITH_RHO,0.07678029537200928
DEM,0.06649271249771119
MOHO_GRAV,0.013528692722320556
GEOID,0.008221781253814698
REVEAL_VP90VS60,0.1404154419898987
REVEAL_S90,0.16506468057632445
LAB,0.08902890682220459
REVEAL_S80,0.12927061319351196
SEDIMENT,0.059849321842193604
REVEAL_VP50VS80,0.1615883469581604
CRUST_RHO,0.03650147914886474
MOHO,0.07955999374389648
SI,0.01181710958480835
EMAG2_LOG,0.00790998935699463
